Industry,2020,2021,2022,2023,2024,2025
Logistics and Supply Chain,1179110000.0,1274181818.1818182,841384615.3846154,608648148.1481482,457090909.09090906,62400000.0
Luxury Goods & Jewelry,11137931.034482758,1000000.0,898285714.2857143,20454545.454545453,,
Machinery,1038300000.0,24400000.0,257500000.0,1972000000.0,,
Management Consulting,1344400000.0,5500000.0,202600000.0,1019181818.1818181,802000000.0,
Manufacturing,1613185000.0,2955071428.571429,2046890476.1904762,2624805084.745763,2986014879.4253464,1851222222.2222223
Marine Shipping & Transportation,,,,,,
Maritime,1782500000.0,50000000.0,175000000.0,1688333333.3333333,2637750000.0,
Marketing and Advertising,18153846.153846152,2800000.0,5500000.0,159000000.0,,
Meat,2055725903.6144578,199500000.0,1382326530.6122448,1489360902.255639,4013674267.1009774,1638530303.030303
Mechanical or Industrial Engineering,494785714.28571427,762370370.3703704,954875000.0,1186618556.701031,84555555.55555555,60000000.0
Media Production,1000000.0,1000000.0,1000000.0,10000000.0,,
Medical Devices,467068965.51724136,500000000.0,1000000.0,1037333333.3333334,,1000000000.0
Mental Health Care,,,,1000000.0,,
Mining & Metals,1272100000.0,1000000.0,55000000.0,48100000.0,5000500000.0,
Museums and Institutions,84000000.0,,,,,
Music,,,,10000000.0,,
Nanotechnology,,,,10000000.0,,
Newspapers,,,,10000000.0,,
Non-Profit Organization Management,,,,1000000.0,,
Oil & Energy,1555627906.9767442,22000000.0,1302727272.7272727,2817914285.714286,3421666666.6666665,
Other,964285714.2857143,453444444.4444444,2605940000.0,1123323076.9230769,607387755.1020408,2336000000.0
Outsourcing/Offshoring,,,,100000000.0,,
Package/Freight Delivery,150000000.0,,,750000000.0,,250000000.0
Packaging and Containers,922407407.4074074,42000000.0,50000000.0,121857142.85714285,10000000.0,
Paper & Forest Products,478181818.1818182,1000000.0,1441571428.5714285,785615384.6153846,1000000.0,
Performing Arts,250000000.0,,,,,
Pet Food,40789473.684210524,16000000.0,77550000.0,70600000.0,43550000.0,22400000.0
Pharma,3959787625.4180603,2352280575.5395684,3590837209.3023257,3161995485.327314,2197792682.9268293,3985915966.3865547
Pharmaceuticals,2340262096.774194,1438369565.2173913,80612903.22580644,1096833887.0431893,1067200000.0,4579000000.0
